protein_id	X14d.1	X14d.2	X14d.3	X21d.2	X21d.3	X21d.4	X28d.1	X28d.2	X28d.3
WP_010969609.1	63.531792	78.01873	80.564369	55.949444	42.514561	43.930622	46.948135	50.227135	57.591602
WP_010969613.1	51.406143	73.45063	49.635376	55.920818	58.530678	47.99416	69.273605	95.851242	41.961651
WP_010969614.1	181.91687	200.496841	175.18103	121.602631	98.7976	114.800392	167.180344	179.95784	159.744247
WP_010969615.1	134.588226	143.596191	133.003403	100.137825	67.092644	87.926964	168.664001	162.415054	155.304123
WP_010969623.1	45.211399	42.678097	46.653347	55.450302	62.650528	57.373096	54.933403	62.193394	51.205627
WP_010969653.1	69.725777	64.54229	67.733795	48.367596	47.494995	46.819458	49.443371	42.689529	46.253155
WP_010969663.1	86.796532	76.720543	91.133812	61.839867	65.669548	62.734253	75.184128	86.657486	75.643555
WP_010969664.1	6.646632	7.668796	13.631254	7.644287	6.718872	8.044638	9.743313	8.183294	7.917111
WP_010969670.1	16.79528	14.981594	18.41798	19.668783	14.626537	7.372277	12.284692	17.533003	7.677502
WP_010969676.1	43.215271	32.445839	29.201771	28.000895	30.859907	28.550417	35.382763	44.927956	33.99836
WP_010969678.1	11.672297	32.485222	27.528074	142.110291	73.659447	108.757591	146.604065	198.8862	127.04245
WP_010969693.1	145.535019	108.197227	107.183273	116.524529	112.273422	142.834381	225.161133	193.396805	212.068512
WP_010969727.1	186.87561	200.29129	191.520935	266.893646	236.501495	241.560242	181.563812	213.55719	138.186615
WP_010969729.1	52.31942	79.945671	43.940247	89.499588	79.759758	107.431366	100.570457	82.511063	88.748299
