gene_id	gene_name	acronym	geneProduct	A86	A256	A485	A86256	A86485	dnf2
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0354061	MtrunA17Chr8g0354061	""	""	1.90495146493969	0	0	0	7.86903231551519	7.09864660607183
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0356471	MtrunA17Chr8g0356471	""	""	6.52252103106942	7.85889437328629	6.13320868803576	5.30596131588984	1.6589377235186	3.86760877786412
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0358161	MtrunA17Chr8g0358161	""	""	-0.500706302090954	-1.07643056923491	-0.0735067857580166	-0.550383336496482	-3.43523435376498	-8.20086600582766
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0362111	MtrunA17Chr8g0362111	""	""	-0.359565229158447	-1.91922502122028	-1.58928307840523	-1.71923007385641	-5.42481623714018	-4.53219804748759
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0362171	MtrunA17Chr8g0362171	""	""	-0.412077695509455	-1.25800673480677	-2.34832984328611	-1.7802726933918	-5.14921135479606	-8.41709259344685
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0362611	MtrunA17Chr8g0362611	""	""	6.82746383109588	7.47550498238145	7.00030836525279	7.68257577391439	1.03115603147992	3.91879762992429
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0365181	MtrunA17Chr8g0365181	""	""	0.149012411239465	0.851336666781634	0.795506918503975	0.398082914214278	-7.49201247956789	-4.16059577425763
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0370591	MtrunA17Chr8g0370591	""	""	3.58455134360982	4.84847965279177	5.68331222327453	4.7937229629231	2.89695614039257	7.9028086341595
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0373961	MtrunA17Chr8g0373961	""	""	1.90495146493969	6.29206674841394	8.06892905844913	7.19332627612399	3.55224640564222	4.25770919530658
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0376811	MtrunA17Chr8g0376811	""	""	1.41287195879864	1.02435453329391	0.353451815491403	0.67048967781094	-6.07208701956135	-1.6530071869587
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0376891	MtrunA17Chr8g0376891	""	""	-1.58408915020118	-3.37335077756011	-7.31520926072065	-8.24655202887676	0.0898654887630686	-1.18954705492013
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0379931	MtrunA17Chr8g0379931	""	""	5.99756631635678	6.35666260366511	5.25564440217209	5.41250977885168	0.252055413986193	2.61280264277819
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0380301	MtrunA17Chr8g0380301	""	""	-0.862598049517047	-1.54301227410955	-2.14364951832791	-6.6698315528375	0.0510477317865641	-0.87919374576455
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0386141	MtrunA17Chr8g0386141	""	""	-0.137670761616353	0.865101819123331	0.777403168542465	0.722198788764422	-8.1792621749027	-3.14680210045324
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0387001	MtrunA17Chr8g0387001	MtCYP86A93	Cytochrome P450 monooxygenase	-2.92622516427467	-3.70952015747699	-7.44882959263425	-5.46340308908861	-7.44882959263425	-5.74092762699832
medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0391091	MtrunA17Chr8g0391091	""	""	4.68483333010582	5.89942862031726	6.71022934519568	6.66936409444283	4.49628219029284	5.38595125528302
