ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	geneSymbols
map04016	MAPK signaling pathway - plant	2/72	166/5968	0.0120481927710843	0.998661311914324	-0.00193290322058278	0.60016399953835	0.78119188437837	0.762623656226762	MtrunA17_Chr1g0168161/MtrunA17_Chr7g0272841	2	MtETR3/MtrunA17Chr7g0272841
map05130	Pathogenic Escherichia coli infection	1/72	76/5968	0.0131578947368421	1.0906432748538	0.0878772675522616	0.604793716938093	0.78119188437837	0.762623656226762	MtrunA17_Chr4g0008361	1	MtrunA17Chr4g0008361
map04142	Lysosome biogenesis	2/72	180/5968	0.0111111111111111	0.920987654320988	-0.118941243916799	0.644625613220704	0.817666202642787	0.798231012766727	MtrunA17_Chr6g0462831/MtrunA17_Chr8g0393271	2	MtrunA17Chr6g0462831/MtrunA17Chr8g0393271
map00620	Pyruvate metabolism	1/72	85/5968	0.0117647058823529	0.97516339869281	-0.0254840080839137	0.646220063378977	0.817666202642787	0.798231012766727	MtrunA17_Chr2g0315891	1	MtrunA17Chr2g0315891
map00983	Drug metabolism - other enzymes	1/72	89/5968	0.0112359550561798	0.931335830212235	-0.0721172198860432	0.663228122775516	0.82240287224164	0.802855095991414	MtrunA17_Chr6g0488531	1	MtrunA17Chr6g0488531
map04137	Mitophagy - animal	1/72	89/5968	0.0112359550561798	0.931335830212235	-0.0721172198860432	0.663228122775516	0.82240287224164	0.802855095991414	MtrunA17_Chr1g0196571	1	MtrunA17Chr1g0196571
map04111	Cell cycle - yeast	1/72	91/5968	0.010989010989011	0.910866910866911	-0.0946776214711775	0.671427181348958	0.823972278995968	0.804387199359391	MtrunA17_Chr7g0233651	1	MtrunA17Chr7g0233651
map00230	Purine metabolism	1/72	95/5968	0.0105263157894737	0.872514619883041	-0.138406891587056	0.687239236050105	0.823972278995968	0.804387199359391	MtrunA17_Chr4g0057771	1	MtrunA17Chr4g0057771
map04114	Oocyte meiosis	1/72	95/5968	0.0105263157894737	0.872514619883041	-0.138406891587056	0.687239236050105	0.823972278995968	0.804387199359391	MtrunA17_Chr7g0233651	1	MtrunA17Chr7g0233651
map04152	AMPK signaling pathway	1/72	96/5968	0.0104166666666667	0.863425925925926	-0.149065241356477	0.691073524319199	0.823972278995968	0.804387199359391	MtrunA17_Chr2g0330871	1	MtrunA17Chr2g0330871
map05166	Human T-cell leukemia virus 1 infection	1/72	102/5968	0.00980392156862745	0.812636165577342	-0.210901831863905	0.713124784410934	0.829908669935018	0.810182487627565	MtrunA17_Chr7g0233651	1	MtrunA17Chr7g0233651
map00190	Oxidative phosphorylation	1/72	104/5968	0.00961538461538462	0.797008547008547	-0.230761296735988	0.720124441311489	0.829908669935018	0.810182487627565	MtrunA17_Chr1g0148031	1	MtAHA8
map05010	Alzheimer disease	2/72	209/5968	0.00956937799043062	0.793195108984583	-0.336299281366975	0.724402783707375	0.829908669935018	0.810182487627565	MtrunA17_Chr2g0328511/MtrunA17_Chr4g0008361	2	MtZIP2/MtrunA17Chr4g0008361
