ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	Count	geneSymbols	geneID	RichFactor	FoldEnrichment	zScore
BP	GO:0006413	translational initiation	1/256	149/14453	0.931208869875464	0.952493644044047	0.868194735823741	1	MtrunA17Chr4g0062941	MtrunA17_Chr4g0062941	0.00671140939597315	0.37890625	-1.02330998176503
CC	GO:0009535	chloroplast thylakoid membrane	1/181	124/11396	0.864142690514597	0.952772710054556	0.932947574104828	1	MtrunA17Chr3g0136201	MtrunA17_Chr3g0136201	0.00806451612903226	0.507752628764926	-0.700149158705536
BP	GO:0006511	ubiquitin-dependent protein catabolic process	1/256	156/14453	0.939379459901909	0.955391609786601	0.870836221799019	1	MtrunA17Chr1g0204861	MtrunA17_Chr1g0204861	0.00641025641025641	0.361904046474359	-1.07599808670377
MF	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	3/519	138/17556	0.778858100602107	0.956083297146299	0.932764192337853	3	MtrunA17Chr4g0014031/MtrunA17Chr3g0100521/MtrunA17Chr5g0432691	MtrunA17_Chr4g0014031/MtrunA17_Chr3g0100521/MtrunA17_Chr5g0432691	0.0217391304347826	0.735360643377733	-0.544731345044164
CC	GO:0005783	endoplasmic reticulum	2/181	273/11396	0.933906111881889	0.96110411695577	0.94110562247811	2	MtPIN9/MtrunA17Chr2g0290301	MtrunA17_Chr7g0249141/MtrunA17_Chr2g0290301	0.00732600732600733	0.461255135288285	-1.14459096036495
CC	GO:0043231	intracellular membrane-bounded organelle	1/181	170/11396	0.935577463327629	0.96110411695577	0.94110562247811	1	MtrunA17Chr5g0440601	MtrunA17_Chr5g0440601	0.00588235294117647	0.370360740981475	-1.05075279556283
CC	GO:0009506	plasmodesma	1/181	191/11396	0.954221785283453	0.96110411695577	0.94110562247811	1	MtrunA17Chr8g0347891	MtrunA17_Chr8g0347891	0.00523560209424084	0.329640450088224	-1.18690338141494
CC	GO:0005789	endoplasmic reticulum membrane	1/181	201/11396	0.96110411695577	0.96110411695577	0.94110562247811	1	MtETR3	MtrunA17_Chr1g0168161	0.00497512437810945	0.313240427695775	-1.24792221085907
BP	GO:0015031	protein transport	1/256	170/14453	0.952933372492988	0.963700981221722	0.878410185765169	1	MtrunA17Chr2g0290301	MtrunA17_Chr2g0290301	0.00588235294117647	0.332100183823529	-1.17628276694848
MF	GO:0080030	methyl indole-3-acetate esterase activity	1/519	53/17556	0.796652111710155	0.967939812127494	0.944331524026824	1	MtrunA17Chr2g0332581	MtrunA17_Chr2g0332581	0.0188679245283019	0.638237539535391	-0.460354848264861
MF	GO:0008017	microtubule binding	3/519	143/17556	0.798883124604238	0.967939812127494	0.944331524026824	3	MtrunA17Chr8g0372171/MtrunA17Chr6g0488831/MtrunA17Chr4g0053211	MtrunA17_Chr8g0372171/MtrunA17_Chr6g0488831/MtrunA17_Chr4g0053211	0.020979020979021	0.70964873277012	-0.608474634764035
MF	GO:0004709	MAP kinase kinase kinase activity	1/519	54/17556	0.8026817954228	0.967939812127494	0.944331524026824	1	MtrunA17Chr7g0272841	MtrunA17_Chr7g0272841	0.0185185185185185	0.626418325840291	-0.479872804644695
BP	GO:0006886	intracellular protein transport	1/256	185/14453	0.964121425069373	0.969537837569763	0.883730460589904	1	MtrunA17Chr5g0440601	MtrunA17_Chr5g0440601	0.00540540540540541	0.305173141891892	-1.27722255491843
MF	GO:0008234	cysteine-type peptidase activity	1/519	57/17556	0.819721029120506	0.982706496898852	0.958738045754978	1	MtLP18	MtrunA17_Chr8g0365151	0.0175438596491228	0.59344894026975	-0.536578718393085
MF	GO:0004601	peroxidase activity	2/519	107/17556	0.829125813651618	0.988202277898731	0.964099783315836	2	MtPrx03/MtrunA17Chr5g0425971	MtrunA17_Chr3g0107881/MtrunA17_Chr5g0425971	0.0186915887850467	0.632272702717303	-0.665916876448575
BP	GO:0006412	translation	1/256	299/14453	0.995482947047145	0.995482947047145	0.907379340148823	1	MtrunA17Chr2g0295991	MtrunA17_Chr2g0295991	0.00334448160535117	0.188819502508361	-1.90326458794782
MF	GO:0008289	lipid binding	1/519	64/17556	0.853984042936877	0.999983442101986	0.975593602050718	1	MtrunA17Chr1g0183881	MtrunA17_Chr1g0183881	0.015625	0.528540462427746	-0.659480885902015
MF	GO:0016301	kinase activity	7/519	335/17556	0.869896951074335	0.999983442101986	0.975593602050718	7	MtrunA17Chr1g0171851/MtrunA17Chr5g0440201/MtBG44/MtrunA17Chr6g0474221/MtrunA17Chr5g0400901/MtrunA17Chr2g0296871/MtrunA17Chr1g0196081	MtrunA17_Chr1g0171851/MtrunA17_Chr5g0440201/MtrunA17_Chr4g0062771/MtrunA17_Chr6g0474221/MtrunA17_Chr5g0400901/MtrunA17_Chr2g0296871/MtrunA17_Chr1g0196081	0.0208955223880597	0.706824260201881	-0.945602875067828
MF	GO:0004674	protein serine/threonine kinase activity	9/519	425/17556	0.88519584020978	0.999983442101986	0.975593602050718	9	MtrunA17Chr6g0477601/MtrunA17Chr6g0477581/MtrunA17Chr6g0477591/MtETR3/MtrunA17Chr1g0146151/MtrunA17Chr8g0348451/MtrunA17Chr2g0321101/MtrunA17Chr3g0082531/MtrunA17Chr7g0218511	MtrunA17_Chr6g0477601/MtrunA17_Chr6g0477581/MtrunA17_Chr6g0477591/MtrunA17_Chr1g0168161/MtrunA17_Chr1g0146151/MtrunA17_Chr8g0348451/MtrunA17_Chr2g0321101/MtrunA17_Chr3g0082531/MtrunA17_Chr7g0218511	0.0211764705882353	0.71632777966678	-1.03325484303301
MF	GO:0004842	ubiquitin-protein transferase activity	2/519	124/17556	0.885214791359072	0.999983442101986	0.975593602050718	2	MtrunA17Chr3g0102941/MtrunA17Chr1g0196571	MtrunA17_Chr3g0102941/MtrunA17_Chr1g0196571	0.0161290322580645	0.545590154764125	-0.886283165761541
MF	GO:0003678	DNA helicase activity	1/519	74/17556	0.891966718358143	0.999983442101986	0.975593602050718	1	MtrunA17Chr1g0192551	MtrunA17_Chr1g0192551	0.0135135135135135	0.457116075613186	-0.816798286054716
MF	GO:0000287	magnesium ion binding	2/519	127/17556	0.893142033073909	0.999983442101986	0.975593602050718	2	MtrunA17Chr8g0370481/MtrunA17Chr6g0471761	MtrunA17_Chr8g0370481/MtrunA17_Chr6g0471761	0.015748031496063	0.532702198352374	-0.922458628638442
MF	GO:0008194	UDP-glycosyltransferase activity	1/519	75/17556	0.895173975718406	0.999983442101986	0.975593602050718	1	MtrunA17Chr5g0403641	MtrunA17_Chr5g0403641	0.0133333333333333	0.45102119460501	-0.831554287719227
MF	GO:0004252	serine-type endopeptidase activity	2/519	128/17556	0.895669462716286	0.999983442101986	0.975593602050718	2	MtrunA17Chr7g0246461/MtrunA17Chr3g0103061	MtrunA17_Chr7g0246461/MtrunA17_Chr3g0103061	0.015625	0.528540462427746	-0.93435770055732
MF	GO:0003712	transcription coregulator activity	1/519	80/17556	0.909839680502776	0.999983442101986	0.975593602050718	1	MtJMJ12	MtrunA17_Chr1g0211711	0.0125	0.422832369942197	-0.903053490646488
MF	GO:0009055	electron transfer activity	1/519	83/17556	0.917636629171526	0.999983442101986	0.975593602050718	1	MtPCY3|MtPLC1	MtrunA17_Chr3g0125761	0.0120481927710843	0.407549272233443	-0.944267580126395
MF	GO:0051539	4 iron, 4 sulfur cluster binding	1/519	89/17556	0.931269277648597	0.999983442101986	0.975593602050718	1	MtrunA17Chr4g0044831	MtrunA17_Chr4g0044831	0.0112359550561798	0.38007404039748	-1.02332409550173
MF	GO:0016740	transferase activity	3/519	215/17556	0.955317382541561	0.999983442101986	0.975593602050718	3	MtrunA17Chr3g0102931/MtrunA17Chr4g0003581/MtrunA17Chr8g0383901	MtrunA17_Chr3g0102931/MtrunA17_Chr4g0003581/MtrunA17_Chr8g0383901	0.013953488372093	0.471998924586638	-1.3595791696273
MF	GO:0016746	acyltransferase activity	3/519	215/17556	0.955317382541561	0.999983442101986	0.975593602050718	3	MtrunA17Chr3g0102941/MtrunA17Chr4g0058581/MtrunA17Chr2g0306841	MtrunA17_Chr3g0102941/MtrunA17_Chr4g0058581/MtrunA17_Chr2g0306841	0.013953488372093	0.471998924586638	-1.3595791696273
MF	GO:0004839	ubiquitin activating enzyme activity	1/519	112/17556	0.965670995312308	0.999983442101986	0.975593602050718	1	MtrunA17Chr4g0058581	MtrunA17_Chr4g0058581	0.00892857142857143	0.302023121387283	-1.29334545948368
